"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",바이오 (MWh),우드칩,사업용,95538,-,-,14619,653,-,-,-,-,24380,12628,-,-,19436,19014,-,-,4809,167583,-,-,10287,3039,-,-,-,-,23148,33411,-,-,61416,36282,-,-,-,319428,-,-,5187,1278,-,-,-,-,-,-,-,219746,32047,61170,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,자가용,3704,-,-,-,-,-,-,-,-,-,-,-,3704,-,-,-,-,-,54665,-,-,-,-,-,-,-,-,-,-,-,54665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),목재펠릿,소계,4926845,-,-,-,-,-,-,-,-,-,1267797,-,627000,2709205,-,-,322842,-,6794232,-,-,-,-,-,-,-,-,-,1995576,-,1364378,3193072,-,-,241206,-,7393419,-,-,-,-,-,-,-,-,-,1667245,-,1627134,3967655,-,-,131386,-
"① 재생에너지",바이오 (MWh),목재펠릿,사업용,4926845,-,-,-,-,-,-,-,-,-,1267797,-,627000,2709205,-,-,322842,-,6794232,-,-,-,-,-,-,-,-,-,1995576,-,1364378,3193072,-,-,241206,-,7393419,-,-,-,-,-,-,-,-,-,1667245,-,1627134,3967655,-,-,131386,-
"① 재생에너지",바이오 (MWh),목재펠릿,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),흑액,소계,240950,-,-,-,-,-,-,240950,-,-,-,-,-,-,-,-,-,-,261970,-,-,-,-,-,-,261970,-,-,-,-,-,-,-,-,-,-,234792,-,-,-,-,-,-,234792,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),흑액,자가용,240950,-,-,-,-,-,-,240950,-,-,-,-,-,-,-,-,-,-,261970,-,-,-,-,-,-,261970,-,-,-,-,-,-,-,-,-,-,234792,-,-,-,-,-,-,234792,-,-,-,-,-,-,-,-,-,-
